pro_com_t,denominazione,maschi,femmine,totale
086001,Agira,4010,4122,8132
086002,Aidone,2452,2373,4825
086003,Assoro,2490,2546,5036
086004,Barrafranca,6034,6766,12800
086005,Calascibetta,2100,2279,4379
086006,Catenanuova,2293,2403,4696
086007,Centuripe,2632,2729,5361
086008,Cerami,972,980,1952
086009,Enna,12900,14104,27004
086010,Gagliano Castelferrato,1692,1826,3518
086011,Leonforte,6271,6691,12962
086012,Nicosia,6545,6870,13415
086013,Nissoria,1508,1493,3001
086014,Piazza Armerina,10643,11083,21726
086015,Pietraperzia,3190,3578,6768
086016,Regalbuto,3543,3550,7093
086017,Sperlinga,357,380,737
086018,Troina,4406,4688,9094
086019,Valguarnera Caropepe,3555,4002,7557
086020,Villarosa,2260,2472,4732
